left,bottom,right,top
608500.0000000000000000,265552.3801275899750181,609166.6669774999609217,266129.7306659700116143
608500.0000000000000000,266129.7306659700116143,609166.6669774999609217,266707.0812043499900028
608500.0000000000000000,266707.0812043499900028,609166.6669774999609217,267284.4317427300265990
608500.0000000000000000,267861.7822811100049876,609166.6669774999609217,268439.1328194899833761
608500.0000000000000000,268439.1328194899833761,609166.6669774999609217,269016.4833578700199723
608500.0000000000000000,269016.4833578700199723,609166.6669774999609217,269593.8338962499983609
609000.0002331200521439,265841.0553967800224200,609666.6672106300247833,266418.4059351600008085
609000.0002331200521439,266418.4059351600008085,609666.6672106300247833,266995.7564735399791971
609000.0002331200521439,266995.7564735399791971,609666.6672106300247833,267573.1070119200157933
609000.0002331200521439,267573.1070119200157933,609666.6672106300247833,268150.4575502999941818
609000.0002331200521439,268150.4575502999941818,609666.6672106300247833,268727.8080886799725704
609000.0002331200521439,268727.8080886799725704,609666.6672106300247833,269305.1586270600091666
609000.0002331200521439,269305.1586270600091666,609666.6672106300247833,269882.5091654399875551
609500.0004662499995902,265552.3801275899750181,610166.6674437499605119,266129.7306659700116143
609500.0004662499995902,266129.7306659700116143,610166.6674437499605119,266707.0812043499900028
609500.0004662499995902,266707.0812043499900028,610166.6674437499605119,267284.4317427300265990
609500.0004662499995902,267284.4317427300265990,610166.6674437499605119,267861.7822811100049876
609500.0004662499995902,267861.7822811100049876,610166.6674437499605119,268439.1328194899833761
609500.0004662499995902,268439.1328194899833761,610166.6674437499605119,269016.4833578700199723
609500.0004662499995902,269016.4833578700199723,610166.6674437499605119,269593.8338962499983609
609500.0004662499995902,269593.8338962499983609,610166.6674437499605119,270171.1844346299767494
610000.0006993799470365,265841.0553967800224200,610666.6676768800243735,266418.4059351600008085
610000.0006993799470365,266418.4059351600008085,610666.6676768800243735,266995.7564735399791971
610000.0006993799470365,266995.7564735399791971,610666.6676768800243735,267573.1070119200157933
610000.0006993799470365,267573.1070119200157933,610666.6676768800243735,268150.4575502999941818
610000.0006993799470365,268150.4575502999941818,610666.6676768800243735,268727.8080886799725704
610000.0006993799470365,268727.8080886799725704,610666.6676768800243735,269305.1586270600091666
610000.0006993799470365,269305.1586270600091666,610666.6676768800243735,269882.5091654399875551
610500.0009324999991804,264397.6790508399717510,611166.6679099999601021,264975.0295892200083472
610500.0009324999991804,264975.0295892200083472,611166.6679099999601021,265552.3801275899750181
610500.0009324999991804,265552.3801275899750181,611166.6679099999601021,266129.7306659700116143
610500.0009324999991804,266129.7306659700116143,611166.6679099999601021,266707.0812043499900028
610500.0009324999991804,266707.0812043499900028,611166.6679099999601021,267284.4317427300265990
610500.0009324999991804,267284.4317427300265990,611166.6679099999601021,267861.7822811100049876
