X,Y,field_1,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype,day,time,month-year,start-time,end-time
7.5568894426875,47.5425672175155,0,5B46D47B91890162E0530A839427D94E,608903.999492697,265766.999247977,2017,BL,Donnerstag / 08h-09h / August 2017,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Donnerstag , 08h-09h , August 2017,800,09h 
7.55940074155375,47.5429693643985,1,465B4F3C16B50162E0530A83942770C7,609092.999638164,265811.999077086,2016,BL,Freitag / 08h-09h / Dezember 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Freitag , 08h-09h , Dezember 2016,800,09h 
7.55551930996326,47.5416332465935,2,220A3AC6359801B6E0530A8394273600,608800.999688078,265662.999434203,2015,BL,Freitag / 07h-08h / September 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Freitag , 07h-08h , September 2015,700,08h 
7.55916881534631,47.546153394787,3,54802369F1580176E0530A839427F188,609074.998740606,266165.998751318,2017,BS,Freitag / 15h-16h / Juni 2017,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Freitag , 15h-16h , Juni 2017,1500,16h 
7.55703322941716,47.5475226381098,4,52609CCAE12E00F6E0530A83942700EB,608913.999413032,266317.999438772,2017,BS,Montag / 07h-08h / März 2017,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Montag , 07h-08h , März 2017,700,08h 
7.55859751083388,47.5461000200726,5,492D3789A54400BCE0530A83942773D9,609031.998779928,266159.998672177,2017,BS,Sonntag / 13h-14h / Februar 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Sonntag , 13h-14h , Februar 2017,1300,14h 
7.55324812881615,47.5478771746508,6,2DB4F39CC3E800FCE0530A8394276236,608628.999500312,266356.999772697,2016,BL,Mittwoch / 15h-16h / Februar 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Mittwoch , 15h-16h , Februar 2016,1500,16h 
7.55723174633442,47.5471896654131,7,15CE10D020850174E0530A839427F505,608928.999339913,266280.99920013,2015,BS,Montag / 09h-10h / April 2015,Tierunfall,Unfall mit Schwerverletzten,9,Nebenstrasse,Montag , 09h-10h , April 2015,900,10h 
7.55791980028442,47.5459837946961,8,04FB7C79056701F0E0530A8394277487,608980.998799874,266146.998560445,2014,BS,Sonntag / 09h-10h / September 2014,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Sonntag , 09h-10h , September 2014,900,10h 
7.55272841176327,47.5471042158987,9,F73DC84BB8090136E0430A8394271EF1,608589.999430804,266270.999258336,2014,BL,Montag / 16h-17h / März 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Montag , 16h-17h , März 2014,1600,17h 
7.55649937885268,47.5524157835127,10,5E7C3CF59E9C012AE0530A839427C070,608872.999794484,266862.000055015,2017,BL,Donnerstag / 09h-10h / Oktober 2017,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1,Nebenstrasse,Donnerstag , 09h-10h , Oktober 2017,900,10h 
7.55708552966271,47.553143682263,11,5494D6B8595B01F4E0530A8394277899,608916.999926586,266942.999942158,2017,BL,Donnerstag / 15h-16h / Juni 2017,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1,Nebenstrasse,Donnerstag , 15h-16h , Juni 2017,1500,16h 
7.55324757139033,47.553822047599,12,42AB8F7E2B970252E0530A8394274DFA,608627.999281236,267018.000473764,2016,BL,Mittwoch / 18h-19h / November 2016,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Hauptstrasse,Mittwoch , 18h-19h , November 2016,1800,19h 
7.55218912181602,47.5558826447291,13,35DCD073365302FEE0530A839427BF9B,608547.999484817,267247.000290913,2016,BL,Montag / 08h-09h / Mai 2016,Parkierunfall,Unfall mit Schwerverletzten,7,Nebenstrasse,Montag , 08h-09h , Mai 2016,800,09h 
7.55435110751641,47.5542166819885,14,FE4CD9CA35D80262E0430A839427E0E6,608710.999508937,267062.000282628,2014,BL,Donnerstag / 13h-14h / Juni 2014,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Hauptstrasse,Donnerstag , 13h-14h , Juni 2014,1300,14h 
7.55399228541006,47.5541630750489,15,E3F9C9B49D8C015EE0430A839427D701,608683.999447305,267056.000333984,2013,BL,Dienstag / 11h-12h / August 2013,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Hauptstrasse,Dienstag , 11h-12h , August 2013,1100,12h 
7.55874445786431,47.5523775109979,16,D356F6791F81014AE0430A8394275E11,609042.000454143,266857.999015463,2012,BL,Donnerstag / 09h-10h / Dezember 2012,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Donnerstag , 09h-10h , Dezember 2012,900,10h 
7.5548165457202,47.5544230750658,17,C26C1B37D1ED0158E0430A839427B490,608745.999598764,267085.000207128,2012,BL,Dienstag / 08h-09h / Mai 2012,Auffahrunfall,Unfall mit Leichtverletzten,2,Hauptstrasse,Dienstag , 08h-09h , Mai 2012,800,09h 
7.55901588360223,47.5549224590175,18,C26AE3D97989001CE0430A8394271C90,609062.000499966,267140.998989078,2012,BL,Montag / 18h-19h / Mai 2012,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Montag , 18h-19h , Mai 2012,1800,19h 
7.55749427537121,47.563710912591,19,5BF5858E72AB0148E0530A839427642B,608946.000099912,268118.002394939,2017,BS,Mittwoch / 08h-09h / September 2017,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1,Nebenstrasse,Mittwoch , 08h-09h , September 2017,800,09h 
7.55992367911397,47.5685739712178,20,09D9660E21F501E2E0530A839427ED0D,609128.000147409,268658.998669208,2014,BS,Donnerstag / 15h-16h / Oktober 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Donnerstag , 15h-16h , Oktober 2014,1500,16h 
7.56554695581458,47.5470460164681,23,4A5E3074A3220026E0530A839427C3AD,609554.998681096,266265.999617833,2017,BS,Dienstag / 08h-09h / Januar 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Dienstag , 08h-09h , Januar 2017,800,09h 
7.56489533655528,47.5467409344912,24,3FD8F5610E530138E0530A839427C6DE,609505.99850102,266231.999497782,2016,BS,Donnerstag / 07h-08h / Juni 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Donnerstag , 07h-08h , Juni 2016,700,08h 
