,results
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5B46D47B91890162E0530A839427D94E', 'geometry': {'points': [[608903.9994926974, 265766.9992479774]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608903.9994926974, 265766.9992479774, 608903.9994926974, 265766.9992479774], 'attributes': {'accidentday_fr': 'jeudi / 08h-09h / août 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 08h-09h / August 2017', 'accidentday_it': 'Giovedì / 08h-09h / Agosto 2017', 'accidentyear': 2017, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2765', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5B46D47B91890162E0530A839427D94E'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '465B4F3C16B50162E0530A83942770C7', 'geometry': {'points': [[609092.9996381643, 265811.99907708634]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609092.9996381643, 265811.99907708634, 609092.9996381643, 265811.99907708634], 'attributes': {'accidentday_fr': 'vendredi / 08h-09h / décembre 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 08h-09h / Dezember 2016', 'accidentday_it': 'Venerdì / 08h-09h / Dicembre 2016', 'accidentyear': 2016, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2765', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '465B4F3C16B50162E0530A83942770C7'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '220A3AC6359801B6E0530A8394273600', 'geometry': {'points': [[608800.9996880783, 265662.9994342029]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608800.9996880783, 265662.9994342029, 608800.9996880783, 265662.9994342029], 'attributes': {'accidentday_fr': 'vendredi / 07h-08h / septembre 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 07h-08h / September 2015', 'accidentday_it': 'Venerdì / 07h-08h / Settembre 2015', 'accidentyear': 2015, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2765', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '220A3AC6359801B6E0530A8394273600'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '54802369F1580176E0530A839427F188', 'geometry': {'points': [[609074.9987406055, 266165.99875131773]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609074.9987406055, 266165.99875131773, 609074.9987406055, 266165.99875131773], 'attributes': {'accidentday_fr': 'vendredi / 15h-16h / juin 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 15h-16h / Juni 2017', 'accidentday_it': 'Venerdì / 15h-16h / Giugno 2017', 'accidentyear': 2017, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '54802369F1580176E0530A839427F188'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '52609CCAE12E00F6E0530A83942700EB', 'geometry': {'points': [[608913.9994130323, 266317.9994387721]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608913.9994130323, 266317.9994387721, 608913.9994130323, 266317.9994387721], 'attributes': {'accidentday_fr': 'lundi / 07h-08h / mars 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 07h-08h / März 2017', 'accidentday_it': 'Lunedí / 07h-08h / Marzo 2017', 'accidentyear': 2017, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '52609CCAE12E00F6E0530A83942700EB'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '492D3789A54400BCE0530A83942773D9', 'geometry': {'points': [[609031.9987799284, 266159.99867217697]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609031.9987799284, 266159.99867217697, 609031.9987799284, 266159.99867217697], 'attributes': {'accidentday_fr': 'dimanche / 13h-14h / février 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 13h-14h / Februar 2017', 'accidentday_it': 'Domenica / 13h-14h / Febbraio 2017', 'accidentyear': 2017, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '492D3789A54400BCE0530A83942773D9'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '2DB4F39CC3E800FCE0530A8394276236', 'geometry': {'points': [[608628.999500312, 266356.9997726966]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608628.999500312, 266356.9997726966, 608628.999500312, 266356.9997726966], 'attributes': {'accidentday_fr': 'mercredi / 15h-16h / février 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 15h-16h / Februar 2016', 'accidentday_it': 'Mercoledì / 15h-16h / Febbraio 2016', 'accidentyear': 2016, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '2DB4F39CC3E800FCE0530A8394276236'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '15CE10D020850174E0530A839427F505', 'geometry': {'points': [[608928.9993399129, 266280.9992001298]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608928.9993399129, 266280.9992001298, 608928.9993399129, 266280.9992001298], 'attributes': {'accidentday_fr': 'lundi / 09h-10h / avril 2015', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Montag / 09h-10h / April 2015', 'accidentday_it': 'Lunedí / 09h-10h / Aprile 2015', 'accidentyear': 2015, 'label': 'Tierunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 9, 'accidenttype_fr': 'accident impliquant des animaux', 'accidenttype_de': 'Tierunfall', 'accidenttype_it': 'Incidente con animali', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '15CE10D020850174E0530A839427F505'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '04FB7C79056701F0E0530A8394277487', 'geometry': {'points': [[608980.9987998735, 266146.99856044515]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608980.9987998735, 266146.99856044515, 608980.9987998735, 266146.99856044515], 'attributes': {'accidentday_fr': 'dimanche / 09h-10h / septembre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 09h-10h / September 2014', 'accidentday_it': 'Domenica / 09h-10h / Settembre 2014', 'accidentyear': 2014, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '04FB7C79056701F0E0530A8394277487'}"
6,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'F73DC84BB8090136E0430A8394271EF1', 'geometry': {'points': [[608589.9994308036, 266270.9992583362]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608589.9994308036, 266270.9992583362, 608589.9994308036, 266270.9992583362], 'attributes': {'accidentday_fr': 'lundi / 16h-17h / mars 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 16h-17h / März 2014', 'accidentday_it': 'Lunedí / 16h-17h / Marzo 2014', 'accidentyear': 2014, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'F73DC84BB8090136E0430A8394271EF1'}"
